Rank,Rider,RiderNo.,Team,Times,Gap,B,P

32,CLÉMENTCHAMPOUSSIN,12,AG2RCITROENTEAM,81h51'38'',+01h24'39'',-,-

33,CHRISHARPER,5,JUMBO-VISMA,81h52'39'',+01h25'40'',-,-

34,CARLFREDRIKHAGEN,107,ISRAEL-PREMIERTECH,81h53'34'',+01h26'35'',-,P:20''

35,CARLOSVERONA,128,MOVISTARTEAM,81h55'32'',+01h28'33'',-,-

36,EDOARDOZAMBANINI,38,BAHRAINVICTORIOUS,81h58'39'',+01h31'40'',B:4'',-

37,NELSONOLIVEIRA,126,MOVISTARTEAM,81h58'41'',+01h31'42'',-,-

38,VADIMPRONSKIY,27,ASTANAQAZAQSTANTEAM,82h02'02'',+01h35'03'',-,-

39,XANDROMEURISSE,184,ALPECIN-DECEUNINCK,82h09'46'',+01h42'47'',-,-

40,ILANVANWILDER,137,QUICK-STEPALPHAVINYLTEAM,82h12'23'',+01h45'24'',-,-

41,ROBERTGESINK,4,JUMBO-VISMA,82h14'48'',+01h47'49'',B:4'',-

42,ELIEGESBERT,221,TEAMARKEA-SAMSIC,82h22'16'',+01h55'17'',-,-

43,JOSEMANUELDIAZGALLEGO,193,BURGOS-BH,82h22'35'',+01h55'36'',B:1'',-

44,DANIELNAVARRO,196,BURGOS-BH,82h31'56'',+02h04'57'',-,-

45,VINCENZONIBALI,26,ASTANAQAZAQSTANTEAM,82h32'44'',+02h05'45'',-,-

46,MARKPADUN,66,EFEDUCATION-EASYPOST,82h41'33'',+02h14'34'',B:3'',P:10''

47,RAULGARCIAPIERNA,205,EQUIPOKERNPHARMA,82h42'47'',+02h15'48'',-,-

48,JOSÉROJAS,127,MOVISTARTEAM,82h44'49'',+02h17'50'',-,-

49,DYLANVANBAARLE,82,INEOSGRENADIERS,82h45'24'',+02h18'25'',-,-

50,GREGORMÜHLBERGER,125,MOVISTARTEAM,82h52'07'',+02h25'08'',-,-

51,BOBJUNGELS,14,AG2RCITROENTEAM,82h57'16'',+02h30'17'',-,-

52,ROHANDENNIS,3,JUMBO-VISMA,82h57'37'',+02h30'38'',-,-

53,DAVIDEVILLELLA,58,COFIDIS,82h58'30'',+02h31'31'',-,-

54,MATTEOFABBRO,42,BORA-HANSGROHE,82h59'04'',+02h32'05'',-,-

55,GLAWSONCRADDOCK,142,TEAMBIKEEXCHANGE-JAYCO,82h59'13'',+02h32'14'',B:2'',-

56,JESUSHERRADA,51,COFIDIS,83h02'05'',+02h35'06'',B:14'',-

57,FAUSTOMASNADA,135,QUICK-STEPALPHAVINYLTEAM,83h05'10'',+02h38'11'',B:1'',-

58,LOUISVERVAEKE,138,QUICK-STEPALPHAVINYLTEAM,83h05'28'',+02h38'29'',-,-

59,RUBENFERNANDEZ,55,COFIDIS,83h06'14'',+02h39'15'',B:2'',-

60,SIMONGUGLIELMI,224,TEAMARKEA-SAMSIC,83h06'59'',+02h40'00'',-,-

61,NANSPETERS,15,AG2RCITROENTEAM,83h10'44'',+02h43'45'',-,-

